date,orders_count,revenue,avg_order
2025-07-08,1,720.72,720.72
2025-07-09,5,2076.59,415.31800000000004
2025-07-11,1,466.32,466.32
2025-07-12,2,1608.69,804.345
2025-07-13,1,223.85,223.85
2025-07-14,1,751.76,751.76
2025-07-15,3,2658.94,886.3133333333334
2025-07-16,2,2386.73,1193.365
2025-07-17,3,1391.8899999999999,463.9633333333333
2025-07-19,1,341.61,341.61
2025-07-20,3,3491.5,1163.8333333333333
2025-07-22,2,1228.6,614.3
2025-07-23,2,915.46,457.73
2025-07-24,3,1940.4099999999999,646.8033333333333
2025-07-25,2,665.65,332.825
2025-07-26,2,2780.15,1390.075
2025-07-27,2,690.31,345.155
2025-07-28,2,1909.97,954.985
2025-07-29,3,2110.42,703.4733333333334
2025-07-31,3,1966.55,655.5166666666667
2025-08-01,2,683.0799999999999,341.53999999999996
2025-08-02,1,265.92,265.92
2025-08-05,3,1525.69,508.56333333333333
2025-08-06,1,1622.36,1622.36
2025-08-07,3,2519.15,839.7166666666667
2025-08-09,1,766.18,766.18
2025-08-10,1,431.55,431.55
2025-08-11,1,1222.96,1222.96
2025-08-12,3,1991.27,663.7566666666667
2025-08-13,2,523.14,261.57
2025-08-14,3,849.95,283.31666666666666
2025-08-15,2,831.9300000000001,415.96500000000003
2025-08-16,1,382.56,382.56
2025-08-17,3,2298.84,766.2800000000001
2025-08-18,1,996.87,996.87
2025-08-19,1,698.39,698.39
2025-08-20,2,544.75,272.375
2025-08-23,1,1755.96,1755.96
2025-08-24,2,1638.15,819.075
2025-08-26,3,2416.63,805.5433333333334
2025-08-27,2,1211.97,605.985
2025-08-28,4,1911.92,477.98
2025-08-29,2,723.14,361.57
2025-08-31,1,1755.96,1755.96
2025-09-01,1,646.82,646.82
2025-09-04,2,680.26,340.13
2025-09-05,2,392.61,196.305
2025-09-07,1,795.52,795.52
2025-09-13,1,441.36,441.36
2025-09-15,4,1229.53,307.3825
2025-09-16,1,1087.36,1087.36
2025-09-17,1,549.82,549.82
2025-09-19,3,2354.91,784.9699999999999
2025-09-21,2,1989.22,994.61
2025-09-22,1,1406.44,1406.44
2025-09-23,1,300.71,300.71
2025-09-24,2,816.46,408.23
2025-09-25,2,2164.36,1082.18
2025-09-26,1,279.75,279.75
2025-09-27,1,249.74,249.74
2025-09-28,1,255.87,255.87
2025-09-29,1,1685.17,1685.17
2025-09-30,1,548.0,548.0
2025-10-01,1,265.21,265.21
2025-10-02,2,957.0899999999999,478.54499999999996
2025-10-06,2,1633.42,816.71
2025-10-09,2,898.9399999999999,449.46999999999997
2025-10-10,3,1617.83,539.2766666666666
2025-10-13,2,1380.95,690.475
2025-10-15,2,927.7,463.85
2025-10-17,1,324.94,324.94
2025-10-18,1,1072.23,1072.23
2025-10-19,1,463.45,463.45
2025-10-20,2,1964.33,982.165
2025-10-22,1,253.45,253.45
2025-10-23,3,718.22,239.40666666666667
2025-10-24,2,2398.51,1199.255
2025-10-25,3,1928.64,642.88
2025-10-26,1,1063.12,1063.12
2025-10-28,1,1073.05,1073.05
2025-10-29,3,1505.13,501.71000000000004
2025-10-30,3,2736.9700000000003,912.3233333333334
2025-10-31,4,1801.4399999999998,450.35999999999996
2025-11-01,1,1348.32,1348.32
2025-11-02,2,2184.8900000000003,1092.4450000000002
2025-11-04,1,746.43,746.43
2025-11-06,2,1384.12,692.06
2025-11-10,2,2360.84,1180.42
2025-11-12,3,2006.45,668.8166666666667
2025-11-13,2,1115.95,557.975
2025-11-14,1,714.94,714.94
2025-11-17,1,1137.05,1137.05
2025-11-18,1,882.39,882.39
2025-11-19,2,1028.55,514.275
2025-11-21,1,1250.94,1250.94
2025-11-22,1,238.39,238.39
2025-11-23,3,4458.31,1486.1033333333335
2025-11-24,1,491.43,491.43
2025-11-25,2,1135.5,567.75
2025-11-26,4,1727.3899999999999,431.84749999999997
2025-11-28,2,1313.53,656.765
2025-11-29,2,1188.2399999999998,594.1199999999999
2025-11-30,1,154.07,154.07
2025-12-01,1,1607.32,1607.32
2025-12-02,3,1919.97,639.99
2025-12-04,1,310.13,310.13
2025-12-05,3,3501.17,1167.0566666666666
2025-12-06,1,232.18,232.18
2025-12-07,1,204.67,204.67
2025-12-09,4,1610.1,402.525
2025-12-10,2,839.74,419.87
2025-12-11,1,1755.96,1755.96
2025-12-12,1,218.33,218.33
2025-12-14,2,1771.98,885.99
2025-12-15,1,223.68,223.68
2025-12-17,1,390.8,390.8
2025-12-18,2,1203.1999999999998,601.5999999999999
2025-12-19,1,1755.96,1755.96
2025-12-20,3,1596.0099999999998,532.0033333333332
2025-12-21,2,701.65,350.825
2025-12-22,5,3551.38,710.2760000000001
2025-12-23,1,239.1,239.1
2025-12-24,2,1568.96,784.48
2025-12-25,1,879.85,879.85
2025-12-26,1,309.85,309.85
2025-12-28,2,1666.05,833.025
2025-12-30,1,581.92,581.92
2025-12-31,4,3231.73,807.9325
2026-01-01,3,2546.83,848.9433333333333
2026-01-02,1,1273.45,1273.45
2026-01-03,1,1720.64,1720.64
2026-01-05,4,1898.6799999999998,474.66999999999996
2026-01-06,3,2442.07,814.0233333333334
2026-01-09,2,362.78000000000003,181.39000000000001
2026-01-10,1,301.15,301.15
2026-01-11,3,1977.3400000000001,659.1133333333333
2026-01-12,4,1778.67,444.6675
2026-01-13,1,557.97,557.97
2026-01-15,2,549.6600000000001,274.83000000000004
2026-01-16,2,998.1899999999999,499.09499999999997
2026-01-17,1,257.9,257.9
2026-01-18,1,1384.95,1384.95
2026-01-21,1,303.58,303.58
2026-01-22,1,473.16,473.16
2026-01-23,1,222.69,222.69
2026-01-26,1,771.68,771.68
2026-01-28,1,1433.84,1433.84
2026-01-31,3,2426.96,808.9866666666667
2026-02-01,3,933.95,311.31666666666666
2026-02-02,1,228.53,228.53
2026-02-04,1,265.63,265.63
2026-02-05,4,2743.2799999999997,685.8199999999999
2026-02-06,1,983.21,983.21
2026-02-07,1,367.48,367.48
2026-02-08,2,1777.6,888.8
2026-02-09,1,1143.85,1143.85
2026-02-11,2,695.08,347.54
2026-02-12,1,146.06,146.06
2026-02-13,1,406.91,406.91
2026-02-14,1,395.36,395.36
2026-02-15,1,689.34,689.34
2026-02-16,3,1379.71,459.90333333333336
2026-02-17,1,953.39,953.39
2026-02-18,2,1653.85,826.925
2026-02-19,2,584.01,292.005
2026-02-20,3,3222.4700000000003,1074.1566666666668
2026-02-21,2,794.0500000000001,397.02500000000003
2026-02-22,1,280.62,280.62
2026-02-23,1,474.94,474.94
2026-02-25,1,622.45,622.45
2026-02-26,3,2460.37,820.1233333333333
2026-02-27,3,926.3900000000001,308.7966666666667
2026-03-02,1,196.27,196.27
2026-03-04,1,202.49,202.49
2026-03-05,1,740.77,740.77
2026-03-06,1,738.84,738.84
2026-03-09,1,675.29,675.29
2026-03-10,1,184.94,184.94
2026-03-11,1,820.19,820.19
2026-03-12,1,285.19,285.19
2026-03-13,2,739.0200000000001,369.51000000000005
2026-03-14,4,3228.42,807.105
2026-03-15,1,219.91,219.91
2026-03-16,2,1436.02,718.01
2026-03-17,4,2828.3500000000004,707.0875000000001
2026-03-18,2,1047.11,523.555
2026-03-19,1,1755.96,1755.96
2026-03-20,1,855.1,855.1
2026-03-21,1,416.09,416.09
2026-03-22,2,2535.81,1267.905
2026-03-23,1,314.14,314.14
2026-03-24,1,393.5,393.5
2026-03-25,1,201.33,201.33
2026-03-27,1,520.94,520.94
2026-03-29,2,1264.27,632.135
2026-03-30,1,542.54,542.54
2026-04-01,3,3065.24,1021.7466666666666
2026-04-02,1,730.92,730.92
2026-04-03,2,1120.81,560.405
2026-04-05,3,2371.41,790.4699999999999
2026-04-06,1,1755.96,1755.96
2026-04-08,1,1755.96,1755.96
2026-04-09,1,769.57,769.57
2026-04-11,1,284.4,284.4
2026-04-12,2,1993.2200000000003,996.6100000000001
2026-04-13,2,784.04,392.02
2026-04-14,4,2494.4300000000003,623.6075000000001
2026-04-15,5,3411.84,682.368
2026-04-17,2,1008.6999999999999,504.34999999999997
2026-04-18,3,1510.16,503.3866666666667
2026-04-19,2,1549.49,774.745
2026-04-20,1,168.76,168.76
2026-04-21,1,68.61,68.61
2026-04-23,2,1442.54,721.27
2026-04-24,1,260.96,260.96
2026-04-25,2,2017.81,1008.905
2026-04-27,3,1680.76,560.2533333333333
2026-04-28,2,1195.33,597.665
2026-04-29,2,816.02,408.01
2026-04-30,3,1397.45,465.81666666666666
2026-05-01,1,290.03,290.03
2026-05-02,2,769.52,384.76
2026-05-03,1,531.9,531.9
2026-05-04,3,1349.22,449.74
2026-05-05,3,1195.1,398.3666666666666
2026-05-06,2,1476.26,738.13
2026-05-07,3,1558.2,519.4
2026-05-08,1,1411.44,1411.44
2026-05-09,3,1662.24,554.08
2026-05-13,2,881.7,440.85
2026-05-14,1,364.25,364.25
2026-05-15,4,2228.03,557.0075
2026-05-16,1,1385.58,1385.58
2026-05-17,1,1597.48,1597.48
2026-05-18,2,416.86,208.43
2026-05-19,2,1279.98,639.99
2026-05-20,2,931.69,465.845
2026-05-21,2,1088.82,544.41
2026-05-22,2,1575.23,787.615
2026-05-23,1,750.9,750.9
2026-05-24,1,398.1,398.1
2026-05-25,2,1696.3700000000001,848.1850000000001
2026-05-26,1,159.7,159.7
2026-05-27,3,1055.3400000000001,351.78000000000003
2026-05-28,1,945.28,945.28
2026-05-30,4,1654.56,413.64
2026-06-01,2,1409.66,704.83
2026-06-02,1,580.64,580.64
2026-06-03,2,1465.66,732.83
2026-06-04,1,286.03,286.03
2026-06-07,2,1201.91,600.955
2026-06-08,3,1665.04,555.0133333333333
2026-06-09,2,1868.21,934.105
2026-06-10,2,1377.46,688.73
2026-06-13,3,718.03,239.34333333333333
2026-06-14,2,972.03,486.015
2026-06-15,1,134.25,134.25
2026-06-19,1,1537.9,1537.9
2026-06-20,1,915.96,915.96
2026-06-22,1,213.86,213.86
2026-06-23,1,1133.84,1133.84
2026-06-24,2,1478.6200000000001,739.3100000000001
2026-06-25,1,1203.04,1203.04
2026-06-29,1,956.5,956.5
2026-06-30,2,520.0,260.0
2026-07-01,2,532.25,266.125
2026-07-02,1,383.24,383.24
2026-07-03,1,1256.83,1256.83
2026-07-04,1,1181.55,1181.55
2026-07-07,2,1217.61,608.805
2026-07-08,2,290.26,145.13
2026-07-09,1,342.91,342.91
2026-07-10,3,2430.58,810.1933333333333
2026-07-11,2,883.6400000000001,441.82000000000005
2026-07-12,1,935.5,935.5
2026-07-13,1,571.49,571.49
2026-07-14,3,1730.77,576.9233333333333
2026-07-15,3,2477.27,825.7566666666667
2026-07-16,3,1396.31,465.43666666666667
2026-07-17,3,1583.38,527.7933333333334
2026-07-18,1,281.24,281.24
2026-07-19,2,1267.15,633.575
2026-07-21,3,2753.5,917.8333333333334
2026-07-23,2,851.99,425.995
2026-07-24,1,542.15,542.15
2026-07-25,1,254.2,254.2
2026-07-26,1,1549.37,1549.37
2026-07-27,3,2077.8,692.6
2026-07-28,1,786.35,786.35
2026-07-30,3,1381.39,460.46333333333337
2026-08-01,2,511.85,255.925
2026-08-02,2,678.36,339.18
2026-08-04,2,1773.8000000000002,886.9000000000001
2026-08-07,1,789.6,789.6
2026-08-08,1,962.44,962.44
2026-08-09,1,871.33,871.33
2026-08-10,2,1326.42,663.21
2026-08-11,1,1221.89,1221.89
2026-08-13,1,963.58,963.58
2026-08-14,1,278.07,278.07
2026-08-16,1,232.13,232.13
2026-08-18,1,216.86,216.86
2026-08-19,1,315.15,315.15
2026-08-20,3,3566.17,1188.7233333333334
2026-08-21,1,502.34,502.34
2026-08-22,3,2549.98,849.9933333333333
2026-08-24,3,1214.19,404.73
2026-08-25,3,2203.96,734.6533333333333
2026-08-26,3,2028.24,676.08
