order_id,customer_id,restaurant_id,order_timestamp,order_status,subtotal,discount_amount,delivery_fee,tax_amount,total_amount,payment_method,delivery_address,estimated_delivery_time,actual_delivery_time,cancellation_reason,delivery_address_norm
24,54,9,2025-12-21T20:16:13,delivered,355.55,0.0,44.63,17.78,417.96,card,Dannyview,2025-12-21T20:49:13,2025-12-21T20:46:13,,dannyview
25,42,7,2026-01-22T21:59:12,delivered,413.54,0.0,38.94,20.68,473.16,upi,Goodville,2026-01-22T22:21:12,2026-01-22T22:18:12,,goodville
26,41,43,2026-05-18T12:51:46,delivered,88.13,0.0,57.51,4.41,150.05,card,North Terrance,2026-05-18T13:25:46,2026-05-18T13:20:46,,north terrance
27,26,41,2025-04-02T20:35:41,delivered,651.63,0.0,39.05,32.58,723.26,cash,West Barbarafurt,2025-04-02T21:07:41,2025-04-02T21:04:41,,west barbarafurt
28,5,5,2024-10-11T21:03:48,delivered,230.99,0.0,48.1,11.55,290.64,card,Lake Nicoleview,2024-10-11T21:23:48,2024-10-11T21:30:48,,lake nicoleview
29,3,21,2025-11-18T20:34:18,delivered,789.58,0.0,53.33,39.48,882.39,card,Veronicaside,2025-11-18T21:18:18,2025-11-18T21:04:18,,veronicaside
30,2,33,2024-09-25T13:52:54,delivered,193.13,0.0,48.83,9.66,251.62,card,Barbaraland,2024-09-25T14:31:54,2024-09-25T14:36:54,,barbaraland
31,84,13,2026-07-14T11:14:13,delivered,646.14,0.0,38.79,32.31,717.24,cash,Lake Brett,2026-07-14T12:01:13,2026-07-14T12:08:13,,lake brett
32,41,11,2025-07-15T18:59:04,delivered,1099.81,0.0,48.08,54.99,1202.88,cash,North Terrance,2025-07-15T19:57:04,2025-07-15T19:57:04,,north terrance
33,45,29,2024-12-06T20:38:25,pending,277.87,0.0,37.28,13.89,329.04,cash,New Michaelberg,2024-12-06T21:08:25,2024-12-06T20:50:25,,new michaelberg
34,14,41,2025-11-25T21:09:24,delivered,194.65,0.0,24.97,9.73,229.35,cash,Jamesview,2025-11-25T21:41:24,2025-11-25T21:25:24,,jamesview
35,17,31,2025-08-29T19:35:05,delivered,436.8,0.0,43.2,21.84,501.84,upi,Darlenefurt,2025-08-29T20:09:05,,,darlenefurt
36,47,15,2026-06-23T21:10:27,delivered,1034.58,0.0,47.53,51.73,1133.84,card,Wilsonton,2026-06-23T21:47:27,2026-06-23T22:03:27,,wilsonton
37,37,11,2024-12-26T20:08:19,delivered,387.57,0.0,50.04,19.38,456.99,upi,Port Richardhaven,2024-12-26T21:06:19,2024-12-26T21:06:19,,port richardhaven
38,61,35,2024-12-28T19:34:11,delivered,1413.01,0.0,40.78,70.65,1524.44,upi,West Cassidy,2024-12-28T20:13:11,2024-12-28T20:27:11,,west cassidy
39,40,12,2024-12-22T13:30:37,delivered,866.64,0.0,58.81,43.33,968.78,cash,New Patrick,2024-12-22T14:05:37,2024-12-22T14:01:37,,new patrick
40,100,16,2024-11-04T21:43:41,delivered,989.75,0.0,24.65,49.49,1063.89,upi,Garciafort,2024-11-04T22:14:41,2024-11-04T22:02:41,,garciafort
41,8,31,2025-04-19T14:06:18,delivered,213.31,0.0,32.82,10.67,256.8,card,Lewisberg,2025-04-19T14:40:18,2025-04-19T14:45:18,,lewisberg
42,7,43,2026-05-01T11:01:54,delivered,245.23,0.0,32.54,12.26,290.03,card,Samuelhaven,2026-05-01T11:35:54,2026-05-01T11:47:54,,samuelhaven
43,89,36,2024-12-06T21:56:12,delivered,176.68,0.0,46.56,8.83,232.07,card,Nelsonville,2024-12-06T22:49:12,2024-12-06T22:46:12,,nelsonville
44,65,31,2024-11-10T13:20:38,delivered,436.8,0.0,23.35,21.84,481.99,upi,Shawchester,2024-11-10T13:54:38,2024-11-10T14:10:38,,shawchester
45,100,49,2025-07-25T20:26:38,cancelled,404.85,0.0,39.27,20.24,464.36,cash,Garciafort,2025-07-25T21:02:38,2025-07-25T20:59:38,customer_request,garciafort
46,36,6,2025-03-27T20:41:31,delivered,229.72,0.0,37.93,11.49,279.14,cash,Waltersfort,2025-03-27T21:32:31,2025-03-27T21:21:31,,waltersfort
47,99,38,2025-03-21T21:07:36,delivered,580.32,0.0,29.52,29.02,638.86,upi,East Sharonville,2025-03-21T21:28:36,2025-03-21T21:32:36,,east sharonville
48,79,10,2025-06-03T19:55:07,delivered,151.88,0.0,27.33,7.59,186.8,cash,Theresaberg,2025-06-03T20:43:07,2025-06-03T20:42:07,,theresaberg
49,1,33,2024-09-05T19:18:18,delivered,770.82,0.0,26.6,38.54,835.96,cash,Lisatown,2024-09-05T19:57:18,2024-09-05T20:10:18,,lisatown
50,16,11,2025-07-20T14:31:09,delivered,1862.42,0.0,39.54,93.12,1995.08,cash,Johnsonmouth,2025-07-20T15:29:09,2025-07-20T15:27:09,,johnsonmouth
51,87,33,2025-02-25T13:25:13,delivered,2279.2,0.0,28.7,113.96,2421.86,upi,East Brent,2025-02-25T14:04:13,2025-02-25T14:01:13,,east brent
52,88,19,2025-05-16T19:00:27,delivered,1174.53,0.0,50.1,58.73,1283.36,cash,New Joanne,2025-05-16T19:46:27,2025-05-16T19:43:27,,new joanne
53,47,17,2024-10-24T18:05:45,delivered,1050.52,0.0,37.88,52.53,1140.93,card,Wilsonton,2024-10-24T18:45:45,2024-10-24T18:58:45,,wilsonton
54,41,17,2026-04-12T18:41:43,cancelled,1172.36,0.0,24.17,58.62,1255.15,cash,North Terrance,2026-04-12T19:21:43,2026-04-12T19:30:43,payment_failed,north terrance
55,94,42,2024-11-04T20:05:15,delivered,774.22,0.0,50.53,38.71,863.46,cash,Millerside,2024-11-04T20:39:15,,,millerside
56,70,46,2025-04-02T13:40:38,delivered,785.03,0.0,36.72,39.25,861.0,upi,West Jamesborough,2025-04-02T14:20:38,2025-04-02T14:16:38,,west jamesborough
57,80,46,2024-08-27T20:32:49,delivered,224.35,0.0,45.1,11.22,280.67,card,Ferrellmouth,2024-08-27T21:12:49,2024-08-27T21:17:49,,ferrellmouth
58,65,25,2026-06-20T11:19:44,delivered,847.04,0.0,26.57,42.35,915.96,card,Shawchester,2026-06-20T11:53:44,2026-06-20T11:36:44,,shawchester
59,64,16,2025-12-04T18:10:23,delivered,260.04,0.0,37.09,13.0,310.13,upi,Port Heather,2025-12-04T18:41:23,2025-12-04T18:50:23,,port heather
60,11,13,2026-03-09T19:23:10,delivered,595.2,0.0,50.33,29.76,675.29,cash,Shawhaven,2026-03-09T20:10:10,2026-03-09T20:02:10,,shawhaven
61,50,10,2024-10-24T13:26:14,delivered,302.9,0.0,43.98,15.14,362.02,card,East Josephberg,2024-10-24T14:14:14,2024-10-24T14:01:14,,east josephberg
62,37,27,2025-02-06T19:29:00,delivered,252.18,0.0,39.83,12.61,304.62,cash,Port Richardhaven,2025-02-06T20:17:00,2025-02-06T20:07:00,,port richardhaven
63,85,3,2024-11-13T13:53:44,pending,2012.11,0.0,35.96,100.61,2148.68,card,Salaston,2024-11-13T14:13:44,2024-11-13T14:21:44,,salaston
64,24,12,2026-06-01T18:37:06,delivered,199.44,0.0,55.09,9.97,264.5,upi,South Brittanytown,2026-06-01T19:12:06,2026-06-01T19:15:06,,south brittanytown
65,68,44,2026-01-31T18:08:49,delivered,257.62,0.0,44.69,12.88,315.19,card,New Michaelshire,2026-01-31T18:46:49,2026-01-31T18:57:49,,new michaelshire
66,56,20,2024-12-17T18:02:13,delivered,409.96,0.0,45.89,20.5,476.35,card,Tuckermouth,2024-12-17T18:32:13,2024-12-17T18:37:13,,tuckermouth
67,63,15,2026-04-24T18:00:03,delivered,209.44,0.0,41.05,10.47,260.96,card,Lisahaven,2026-04-24T18:37:03,2026-04-24T18:42:03,,lisahaven
68,30,13,2025-09-21T13:07:02,delivered,301.51,0.0,39.37,15.08,355.96,cash,Kristopherbury,2025-09-21T13:54:02,2025-09-21T13:53:02,,kristopherbury
69,19,50,2025-02-09T18:30:03,delivered,220.24,0.0,37.48,11.01,268.73,cash,Richardtown,2025-02-09T19:13:03,2025-02-09T19:37:03,,richardtown
70,13,32,2025-11-23T11:11:01,pending,2024.79,0.0,47.06,101.24,2173.09,cash,West Justin,2025-11-23T11:53:01,2025-11-23T11:55:01,,west justin
71,98,32,2026-03-02T21:11:15,delivered,145.41,0.0,43.59,7.27,196.27,cash,South John,2026-03-02T21:53:15,2026-03-02T22:03:15,,south john
72,41,34,2026-05-26T19:03:14,delivered,125.75,15.3,42.96,6.29,159.7,upi,North Terrance,2026-05-26T19:47:14,2026-05-26T20:07:14,,north terrance
73,58,12,2026-06-13T13:23:45,delivered,177.98,0.0,39.26,8.9,226.14,card,Robertsfurt,2026-06-13T13:58:45,2026-06-13T14:12:45,,robertsfurt
74,59,11,2026-01-10T11:42:37,delivered,245.36,0.0,43.52,12.27,301.15,cash,Port Michael,2026-01-10T12:40:37,2026-01-10T12:35:37,,port michael
75,92,35,2024-11-10T19:36:06,delivered,1186.29,0.0,39.04,59.31,1284.64,card,Port Amyhaven,2024-11-10T20:15:06,2024-11-10T20:31:06,,port amyhaven
76,13,45,2026-08-25T19:03:24,delivered,334.3,0.0,31.53,16.71,382.54,upi,West Justin,2026-08-25T19:23:24,2026-08-25T19:37:24,,west justin
77,86,24,2025-12-02T13:06:04,delivered,812.65,0.0,54.59,40.63,907.87,card,Lake Janet,2025-12-02T13:29:04,2025-12-02T13:27:04,,lake janet
78,76,16,2025-09-21T20:13:12,delivered,1526.64,0.0,30.29,76.33,1633.26,cash,South Stevenhaven,2025-09-21T20:44:12,2025-09-21T20:46:12,,south stevenhaven
79,51,2,2026-05-19T14:01:13,delivered,883.98,0.0,60.3,44.2,988.48,card,Simmonsville,2026-05-19T14:40:13,2026-05-19T14:34:13,,simmonsville
80,31,16,2025-11-24T11:36:03,delivered,419.26,0.0,51.21,20.96,491.43,card,Harrytown,2025-11-24T12:07:03,2025-11-24T12:14:03,,harrytown
81,60,16,2025-04-26T20:19:05,cancelled,503.28,0.0,41.48,25.16,569.92,card,South Carlos,2025-04-26T20:50:05,2025-04-26T20:58:05,payment_failed,south carlos
82,90,44,2025-06-07T21:12:52,delivered,1109.3,0.0,22.12,55.47,1186.89,card,Morrisbury,2025-06-07T21:50:52,2025-06-07T22:09:52,,morrisbury
83,69,45,2025-01-01T20:37:48,cancelled,668.6,0.0,31.43,33.43,733.46,upi,Kristinastad,2025-01-01T20:57:48,2025-01-01T21:01:48,restaurant_unavailable,kristinastad
84,67,11,2024-09-18T12:15:03,delivered,318.78,0.0,40.13,15.94,374.85,card,North Andrewborough,2024-09-18T13:13:03,2024-09-18T13:22:03,,north andrewborough
85,46,32,2025-06-26T12:38:41,delivered,940.41,0.0,40.17,47.02,1027.6,cash,Coffeyside,2025-06-26T13:20:41,2025-06-26T13:02:41,,coffeyside
86,26,34,2025-12-14T21:02:29,delivered,521.35,0.0,44.22,26.07,591.64,upi,West Barbarafurt,2025-12-14T21:46:29,2025-12-14T21:51:29,,west barbarafurt
87,90,29,2024-09-20T11:05:18,delivered,701.86,0.0,35.65,35.09,772.6,card,Morrisbury,2024-09-20T11:35:18,2024-09-20T11:18:18,,morrisbury
88,43,17,2024-12-12T12:51:19,delivered,209.34,0.0,42.29,10.47,262.1,upi,East Steven,2024-12-12T13:31:19,2024-12-12T13:44:19,,east steven
89,48,50,2025-01-29T14:41:38,delivered,275.34,0.0,43.61,13.77,332.72,card,Antoniostad,2025-01-29T15:24:38,2025-01-29T15:35:38,,antoniostad
90,57,28,2025-07-09T20:42:20,delivered,354.54,0.0,34.55,17.73,406.82,cash,North Tylerchester,2025-07-09T21:19:20,2025-07-09T21:20:20,,north tylerchester
91,54,8,2024-10-08T13:22:32,delivered,275.58,0.0,34.56,13.78,323.92,cash,Dannyview,2024-10-08T14:15:32,2024-10-08T14:02:32,,dannyview
92,81,6,2025-06-22T18:50:56,delivered,785.66,0.0,53.49,39.28,878.43,card,South Dennisview,2025-06-22T19:41:56,2025-06-22T19:45:56,,south dennisview
93,55,19,2026-02-02T20:21:26,delivered,174.65,0.0,45.15,8.73,228.53,upi,East Mollyshire,2026-02-02T21:07:26,2026-02-02T21:05:26,,east mollyshire
94,14,4,2025-04-12T21:50:48,delivered,101.23,0.0,38.13,5.06,144.42,upi,Jamesview,2025-04-12T22:41:48,2025-04-12T22:22:48,,jamesview
95,71,3,2025-12-15T20:14:44,delivered,177.08,0.0,37.75,8.85,223.68,card,Morganburgh,2025-12-15T20:34:44,2025-12-15T20:19:44,,morganburgh
96,75,42,2025-08-24T11:48:12,delivered,1128.94,94.43,25.96,56.45,1116.92,card,East Laurabury,2025-08-24T12:22:12,2025-08-24T12:17:12,,east laurabury
97,59,32,2024-10-26T21:53:01,delivered,245.77,0.0,75.14,12.29,333.2,card,Port Michael,2024-10-26T22:35:01,2024-10-26T22:38:01,,port michael
98,86,43,2025-03-21T21:46:39,delivered,142.96,0.0,53.76,7.15,203.87,card,Lake Janet,2025-03-21T22:20:39,2025-03-21T22:16:39,,lake janet
99,91,20,2026-08-24T13:00:42,delivered,190.2,0.0,41.33,9.51,241.04,upi,Hannahport,2026-08-24T13:30:42,2026-08-24T13:25:42,,hannahport
100,37,46,2025-11-02T14:23:51,delivered,994.51,0.0,37.49,49.73,1081.73,card,Port Richardhaven,2025-11-02T15:03:51,,,port richardhaven
101,100,1,2025-11-21T20:53:24,delivered,1149.56,0.0,43.9,57.48,1250.94,card,Garciafort,2025-11-21T21:46:24,2025-11-21T21:26:24,,garciafort
102,26,20,2026-04-15T14:30:58,delivered,204.98,0.0,40.64,10.25,255.87,upi,West Barbarafurt,2026-04-15T15:00:58,,,west barbarafurt
103,93,34,2024-12-01T21:06:27,delivered,617.09,0.0,34.65,30.85,682.59,cash,South Jonathantown,2024-12-01T21:50:27,2024-12-01T21:52:27,,south jonathantown
104,17,38,2025-12-23T20:21:17,delivered,175.15,0.0,55.19,8.76,239.1,upi,Darlenefurt,2025-12-23T20:42:17,2025-12-23T20:42:17,,darlenefurt
105,67,11,2026-08-26T13:52:05,delivered,477.28,0.0,57.85,23.86,558.99,cash,North Andrewborough,2026-08-26T14:50:05,2026-08-26T14:54:05,,north andrewborough
106,81,48,2026-05-02T13:06:48,delivered,485.14,0.0,50.35,24.26,559.75,upi,South Dennisview,2026-05-02T13:56:48,2026-05-02T13:52:48,,south dennisview
107,24,13,2025-05-15T20:52:50,delivered,215.38,0.0,44.08,10.77,270.23,upi,South Brittanytown,2025-05-15T21:39:50,,,south brittanytown
108,22,7,2025-01-04T21:30:59,delivered,422.35,0.0,39.01,21.12,482.48,cash,West Matthew,2025-01-04T21:52:59,2025-01-04T21:52:59,,west matthew
109,7,36,2025-10-29T13:28:51,delivered,672.93,0.0,20.0,33.65,726.58,upi,Samuelhaven,2025-10-29T14:21:51,2025-10-29T14:24:51,,samuelhaven
110,48,31,2025-03-29T12:34:44,delivered,436.8,0.0,63.17,21.84,521.81,upi,Antoniostad,2025-03-29T13:08:44,2025-03-29T13:08:44,,antoniostad
111,20,38,2024-10-09T11:03:12,delivered,172.98,0.0,34.36,8.65,215.99,upi,South Robertshire,2024-10-09T11:24:12,2024-10-09T11:28:12,,south robertshire
112,91,19,2025-01-29T14:24:15,delivered,1000.83,0.0,46.5,50.04,1097.37,cash,Hannahport,2025-01-29T15:10:15,2025-01-29T15:15:15,,hannahport
113,24,35,2024-12-17T19:12:49,pending,395.43,0.0,33.62,19.77,448.82,cash,South Brittanytown,2024-12-17T19:51:49,2024-12-17T19:35:49,,south brittanytown
114,28,39,2026-03-22T21:59:20,delivered,743.82,0.0,25.58,37.19,806.59,cash,West Nicolebury,2026-03-22T22:37:20,2026-03-22T22:38:20,,west nicolebury
115,33,43,2025-07-09T11:05:22,pending,388.19,0.0,48.41,19.41,456.01,upi,Torreston,2025-07-09T11:39:22,2025-07-09T11:26:22,,torreston
116,77,35,2026-07-17T13:43:56,delivered,1017.58,0.0,20.0,50.88,1088.46,upi,Jamesside,2026-07-17T14:22:56,,,jamesside
117,69,40,2025-02-22T21:34:00,delivered,487.77,0.0,40.44,24.39,552.6,card,Kristinastad,2025-02-22T22:23:00,2025-02-22T22:24:00,,kristinastad
118,74,24,2026-07-19T18:05:04,delivered,937.29,0.0,50.85,46.86,1035.0,upi,Heatherfort,2026-07-19T18:28:04,2026-07-19T18:39:04,,heatherfort
119,76,42,2025-03-30T18:06:18,delivered,560.85,0.0,45.12,28.04,634.01,upi,South Stevenhaven,2025-03-30T18:40:18,2025-03-30T18:50:18,,south stevenhaven
120,22,49,2024-11-01T13:23:00,delivered,684.06,0.0,41.1,34.2,759.36,card,West Matthew,2024-11-01T13:59:00,,,west matthew
121,20,41,2026-01-12T13:39:53,delivered,203.96,0.0,41.69,10.2,255.85,cash,South Robertshire,2026-01-12T14:11:53,2026-01-12T14:17:53,,south robertshire
122,66,47,2025-08-26T21:08:42,delivered,607.05,0.0,30.31,30.35,667.71,card,Sarahchester,2025-08-26T21:39:42,2025-08-26T21:34:42,,sarahchester
123,62,36,2024-11-08T14:27:17,delivered,460.04,0.0,51.13,23.0,534.17,upi,Ortizmouth,2024-11-08T15:20:17,2024-11-08T15:11:17,,ortizmouth
124,22,20,2026-06-10T14:57:01,delivered,614.94,0.0,32.75,30.75,678.44,cash,West Matthew,2026-06-10T15:27:01,2026-06-10T15:24:01,,west matthew
125,30,43,2026-04-11T13:29:32,pending,231.09,0.0,41.76,11.55,284.4,cash,Kristopherbury,2026-04-11T14:03:32,2026-04-11T13:52:32,,kristopherbury
126,28,40,2026-07-16T19:14:48,cancelled,462.44,37.47,39.53,23.12,487.62,upi,West Nicolebury,2026-07-16T20:03:48,2026-07-16T20:14:48,customer_request,west nicolebury
127,47,43,2025-08-17T19:37:41,delivered,1630.43,0.0,35.97,81.52,1747.92,upi,Wilsonton,2025-08-17T20:11:41,2025-08-17T20:16:41,,wilsonton
128,81,2,2024-10-19T21:14:26,delivered,858.05,0.0,37.45,42.9,938.4,card,South Dennisview,2024-10-19T21:53:26,2024-10-19T22:10:26,,south dennisview
129,2,1,2024-12-21T12:36:40,delivered,231.66,0.0,30.79,11.58,274.03,upi,Barbaraland,2024-12-21T13:29:40,2024-12-21T13:30:40,,barbaraland
130,48,6,2024-09-23T19:21:59,delivered,689.16,0.0,37.26,34.46,760.88,upi,Antoniostad,2024-09-23T20:12:59,2024-09-23T20:26:59,,antoniostad
131,34,30,2026-04-28T18:05:30,delivered,891.94,0.0,24.33,44.6,960.87,card,Jasminemouth,2026-04-28T18:55:30,2026-04-28T18:44:30,,jasminemouth
132,39,24,2024-09-12T14:36:06,delivered,656.99,0.0,51.62,32.85,741.46,card,Port Chad,2024-09-12T14:59:06,2024-09-12T15:01:06,,port chad
133,80,17,2026-05-09T12:09:27,delivered,224.62,0.0,54.84,11.23,290.69,cash,Ferrellmouth,2026-05-09T12:49:27,2026-05-09T12:50:27,,ferrellmouth
134,3,7,2024-09-03T18:25:47,delivered,134.91,0.0,44.35,6.75,186.01,card,Veronicaside,2024-09-03T18:47:47,2024-09-03T18:38:47,,veronicaside
135,19,38,2026-05-25T20:52:09,delivered,57.66,0.0,48.44,2.88,108.98,card,Richardtown,2026-05-25T21:13:09,2026-05-25T20:50:09,,richardtown
136,9,19,2025-04-07T12:28:00,delivered,167.79,0.0,46.12,8.39,222.3,cash,East Jamesside,2025-04-07T13:14:00,2025-04-07T13:22:00,,east jamesside
137,99,4,2024-10-10T14:25:25,pending,900.67,0.0,37.69,45.03,983.39,cash,East Sharonville,2024-10-10T15:16:25,2024-10-10T15:16:25,,east sharonville
138,47,20,2025-03-19T20:16:56,delivered,819.92,0.0,34.86,41.0,895.78,upi,Wilsonton,2025-03-19T20:46:56,2025-03-19T20:51:56,,wilsonton
139,61,30,2024-10-02T21:44:14,delivered,483.7,0.0,47.41,24.19,555.3,upi,West Cassidy,2024-10-02T22:34:14,2024-10-02T22:33:14,,west cassidy
140,56,18,2026-02-20T21:47:43,delivered,2002.53,0.0,38.65,100.13,2141.31,upi,Tuckermouth,2026-02-20T22:14:43,2026-02-20T22:13:43,,tuckermouth
141,76,28,2025-04-20T11:23:39,delivered,1623.84,0.0,47.52,81.19,1752.55,cash,South Stevenhaven,2025-04-20T12:00:39,2025-04-20T11:59:39,,south stevenhaven
142,85,20,2025-03-14T12:29:20,delivered,409.96,33.46,40.93,20.5,437.93,cash,Salaston,2025-03-14T12:59:20,2025-03-14T12:55:20,,salaston
143,73,47,2025-07-12T13:17:28,delivered,1041.38,0.0,57.61,52.07,1151.06,card,Nathanland,2025-07-12T13:48:28,2025-07-12T13:44:28,,nathanland
144,67,40,2025-03-15T20:34:46,delivered,975.54,0.0,48.08,48.78,1072.4,card,North Andrewborough,2025-03-15T21:23:46,2025-03-15T21:25:46,,north andrewborough
145,17,4,2025-07-01T12:07:22,delivered,1343.62,0.0,38.77,67.18,1449.57,card,Darlenefurt,2025-07-01T12:58:22,2025-07-01T13:08:22,,darlenefurt
146,37,8,2025-06-21T20:40:39,delivered,357.72,0.0,49.72,17.89,425.33,card,Port Richardhaven,2025-06-21T21:33:39,2025-06-21T21:47:39,,port richardhaven
147,91,46,2026-02-19T18:54:01,delivered,224.35,0.0,20.0,11.22,255.57,upi,Hannahport,2026-02-19T19:34:01,2026-02-19T19:34:01,,hannahport
148,58,2,2024-12-02T13:09:05,delivered,1443.64,0.0,38.57,72.18,1554.39,cash,Robertsfurt,2024-12-02T13:48:05,2024-12-02T13:41:05,,robertsfurt
149,96,44,2025-02-20T14:11:37,delivered,268.19,0.0,28.8,13.41,310.4,cash,East Williamport,2025-02-20T14:49:37,2025-02-20T15:06:37,,east williamport
150,78,8,2026-04-09T11:22:18,delivered,687.49,0.0,47.71,34.37,769.57,upi,Montgomerytown,2026-04-09T12:15:18,2026-04-09T12:27:18,,montgomerytown
151,47,39,2026-01-13T20:16:05,delivered,495.88,0.0,37.3,24.79,557.97,cash,Wilsonton,2026-01-13T20:54:05,2026-01-13T21:01:05,,wilsonton
152,39,3,2025-04-10T19:12:20,delivered,546.48,0.0,37.38,27.32,611.18,card,Port Chad,2025-04-10T19:32:20,2025-04-10T19:47:20,,port chad
153,95,38,2026-07-25T11:21:05,delivered,193.44,0.0,51.09,9.67,254.2,card,Ericborough,2026-07-25T11:42:05,2026-07-25T11:29:05,,ericborough
154,32,42,2026-07-23T19:12:29,delivered,532.08,0.0,46.2,26.6,604.88,cash,Wilsonland,2026-07-23T19:46:29,2026-07-23T19:50:29,,wilsonland
155,24,33,2024-10-13T11:13:07,delivered,1284.7,217.32,40.45,64.23,1172.06,cash,South Brittanytown,2024-10-13T11:52:07,2024-10-13T11:51:07,,south brittanytown
156,7,43,2024-11-24T13:03:03,delivered,245.23,0.0,34.73,12.26,292.22,cash,Samuelhaven,2024-11-24T13:37:03,2024-11-24T13:29:03,,samuelhaven
157,3,44,2025-04-17T18:45:28,delivered,934.52,0.0,41.15,46.73,1022.4,upi,Veronicaside,2025-04-17T19:23:28,2025-04-17T19:17:28,,veronicaside
158,8,17,2025-05-19T13:00:49,delivered,279.43,0.0,41.87,13.97,335.27,card,Lewisberg,2025-05-19T13:40:49,2025-05-19T13:53:49,,lewisberg
159,48,23,2025-09-30T21:26:41,delivered,479.39,0.0,44.64,23.97,548.0,card,Antoniostad,2025-09-30T22:11:41,2025-09-30T22:20:41,,antoniostad
160,68,47,2024-10-24T20:31:59,cancelled,766.87,0.0,41.36,38.34,846.57,cash,New Michaelshire,2024-10-24T21:02:59,2024-10-24T20:59:59,restaurant_unavailable,new michaelshire
